76,69,78
76,70,79
76,91,106
76,95,70
76,96,71
76,97,72
76,101,73
77,0,-71
77,5,-71
77,6,-71
77,8,-71
77,9,-71
77,21,-71
77,28,-71
77,29,-71
77,31,-71
77,39,-71
77,40,-71
77,41,-71
77,47,-71
77,48,-71
77,49,-71
77,50,-71
77,51,-71
77,52,-71
77,53,-71
77,55,-71
77,63,-71
77,65,-71
78,0,-72
78,5,-72
78,6,-72
78,8,-72
78,9,-72
78,21,-72
78,28,-72
78,29,-72
78,31,-72
78,39,-72
78,40,-72
78,41,-72
78,47,-72
78,48,-72
78,49,-72
78,50,-72
78,51,-72
78,52,-72
78,53,-72
78,55,-72
78,63,-72
78,65,-72
79,0,-55
79,5,-55
79,6,-55
79,8,-55
79,9,-55
79,21,-55
79,28,-55
79,29,-55
79,31,-55
79,39,-55
79,40,-55
79,41,-55
79,47,-55
79,48,-55
79,49,-55
79,50,-55
79,51,-55
79,52,-55
79,53,-55
79,55,-55
79,62,107
79,63,-55
79,65,-55
80,66,108
81,39,100
81,40,101
81,47,110
81,48,111
81,49,112
81,50,113
81,51,114
81,52,115
81,98,109
81,99,99
82,0,116
82,6,-40
82,8,-40
82,9,-40
82,21,117
82,28,-40
82,31,-40
82,55,-40
82,63,-40
83,28,118
84,19,84
84,37,85
84,38,86
84,39,74
84,40,75
84,62,87
84,68,77
84,69,78
84,70,79
84,91,81
84,92,82
84,93,119
84,95,70
84,96,71
84,97,72
84,101,73
85,0,-42
85,6,-42
85,8,-42
85,9,-42
85,21,-42
85,28,-42
85,31,-42
85,55,-42
85,63,-42
86,0,-43
86,6,-43
86,8,-43
86,9,-43
86,21,-43
86,28,-43
86,31,-43
86,55,-43
86,63,-43
87,19,84
87,37,85
87,38,86
87,39,74
87,40,75
87,62,87
87,68,77
87,69,78
87,70,79
87,91,120
87,92,82
87,93,121
87,95,70
87,96,71
87,97,72
87,101,73
88,31,122
89,6,123
90,39,100
90,40,101
90,53,-48
90,63,-48
90,99,99
91,53,124
91,63,125
92,8,-46
92,9,-46
92,31,-46
92,55,-46
93,39,100
93,40,101
93,65,126
93,99,99
94,54,127
95,70,7
95,75,128
95,83,129
96,55,130
97,65,131
98,9,-25
98,55,-25
99,62,76
99,68,77
99,69,78
99,70,79
99,95,132
99,96,71
99,101,73
100,62,-61
100,68,-61
100,69,-61
100,70,-61
101,62,-62
101,68,-62
101,69,-62
101,70,-62
102,62,76
102,68,77
102,69,78
102,70,79
102,96,133
102,101,73
103,62,-64
103,68,-64
103,69,-64
103,70,-64
104,62,-63
104,68,-63
104,69,-63
104,70,-63
105,0,-51
105,5,103
105,6,-51
105,8,-51
105,9,-51
105,21,-51
105,28,-51
105,29,-51
105,31,-51
105,39,-51
105,40,-51
105,41,104
105,47,-51
105,48,-51
105,49,-51
105,50,-51
105,51,-51
105,52,-51
105,53,-51
105,55,-51
105,63,-51
105,65,-51
105,100,102
106,39,100
106,40,101
106,63,134
106,99,99
107,39,74
107,40,75
107,62,76
107,68,77
107,69,78
107,70,79
107,91,90
107,94,135
107,95,70
107,96,71
107,97,72
107,101,73
108,39,74
108,40,75
108,62,76
108,68,77
108,69,78
108,70,79
108,91,136
108,95,70
108,96,71
108,97,72
108,101,73
109,39,74
109,40,75
109,62,76
109,68,77
109,69,78
109,70,79
109,91,137
109,95,70
109,96,71
109,97,72
109,101,73
110,39,-65
110,40,-65
110,62,-65
110,68,-65
110,69,-65
110,70,-65
111,39,-66
111,40,-66
111,62,-66
111,68,-66
111,69,-66
111,70,-66
112,39,-67
112,40,-67
112,62,-67
112,68,-67
112,69,-67
112,70,-67
113,39,-68
113,40,-68
113,62,-68
113,68,-68
113,69,-68
113,70,-68
114,39,-69
114,40,-69
114,62,-69
114,68,-69
114,69,-69
114,70,-69
115,39,-70
115,40,-70
115,62,-70
115,68,-70
115,69,-70
115,70,-70
116,19,-32
116,37,-32
116,38,-32
116,39,-32
116,40,-32
116,62,-32
116,68,-32
116,69,-32
116,70,-32
116,103,138
117,19,-32
117,37,-32
117,38,-32
117,39,-32
117,40,-32
117,62,-32
117,68,-32
117,69,-32
117,70,-32
117,103,139
118,2,-32
118,11,-32
118,14,-32
118,26,-32
118,33,-32
118,70,-32
118,103,140
119,6,-38
119,8,-38
119,9,-38
119,28,-38
119,31,-38
119,55,-38
119,63,-38
120,39,100
120,40,101
120,47,110
120,48,111
120,49,112
120,50,113
120,51,114
120,52,115
120,63,134
120,98,109
120,99,99
121,63,141
122,19,-76
122,37,-76
122,38,-76
122,39,-76
122,40,-76
122,62,-76
122,68,-76
122,69,-76
122,70,-76
122,107,142
123,2,-32
123,11,-32
123,14,-32
123,26,-32
123,33,-32
123,70,-32
123,103,143
124,39,74
124,40,75
124,62,76
124,68,77
124,69,78
124,70,79
124,91,144
124,95,70
124,96,71
124,97,72
124,101,73
125,8,-47
125,9,-47
125,31,-47
125,55,-47
126,66,-45
127,35,24
127,36,25
127,79,145
128,53,8
128,54,146
129,55,147
129,63,148
130,2,-16
130,32,-16
131,20,149
132,0,-52
132,5,103
132,6,-52
132,8,-52
132,9,-52
132,21,-52
132,28,-52
132,29,-52
132,31,-52
132,39,-52
132,40,-52
132,41,104
132,47,-52
132,48,-52
132,49,-52
132,50,-52
132,51,-52
132,52,-52
132,53,-52
132,55,-52
132,63,-52
132,65,-52
132,100,102
133,0,-54
133,5,-54
133,6,-54
133,8,-54
133,9,-54
133,21,-54
133,28,-54
133,29,-54
133,31,-54
133,39,-54
