62, 00000000
65, 00000000
64, 00610BA8
60, 00000000
64, 0060E228
61, 00000000
56, 00000000
64, 00610418
62, 00000000
65, 00000000
51, 00000000
14, 00000000
64, 0060FC34
43, 00000000
28, 00000000
28, 00000000
64, 0060FC34
62, 00000000
64, 0060E228
8, 00000000
2, 00000000
64, 0060E200
62, 00000000
64, 0060FC34
51, 00000000
64, 00611240
62, 00000000
65, 00000000
33, 00000000
64, 0060E200
44, 00000000
28, 00000000
6, 00000000
2, 00000000
64, 006101B0
58, 00000000
64, 00610BA8
60, 00000000
64, 0060E200
61, 00000000
56, 00000000
64, 00610418
59, 00000000
51, 00000000
64, 00611240
62, 00000000
64, 0060E200
51, 00000000
14, 00000000
64, 00610BA8
60, 00000000
64, 0060E200
61, 00000000
56, 00000000
64, 0060E508
47, 00000000
64, 0060E508
28, 00000000
64, 0060E200
62, 00000000
64, 00610BA8
60, 00000000
64, 0060E200
61, 00000000
56, 00000000
64, 0060EE48
8, 00000000
64, 0060E200
62, 00000000
64, 00610BA8
60, 00000000
64, 0060E200
61, 00000000
56, 00000000
64, 00612030
51, 00000000
9, 00000000
51, 00000000
14, 00000000
64, 00610BA8
60, 00000000
64, 00611240
61, 00000000
56, 00000000
64, 0060E508
47, 00000000
64, 0060E508
28, 00000000
64, 00610BA8
60, 00000000
64, 00611240
61, 00000000
56, 00000000
64, 0060EE48
62, 00000000
64, 0060E228
8, 00000000
64, 00610BA8
60, 00000000
64, 00611240
61, 00000000
56, 00000000
64, 00612030
62, 00000000
64, 0060E228
51, 00000000
64, 00610BA8
60, 00000000
64, 0060E228
61, 00000000
56, 00000000
64, 00611620
62, 00000000
64, 00611240
51, 00000000
64, 00611FA4
58, 00000000
64, 0060E228
59, 00000000
51, 00000000
9, 00000000
51, 00000000
9, 00000000
51, 00000000
12, 00000000
64, 006102F4
56, 00000000
64, 0060EF9C
58, 00000000
64, 0060E508
50, 00000000
64, 00610F1C
59, 00000000
50, 00000000
64, 00610F1C
51, 00000000
32, 00000000
64, 0060E200
49, 00000000
64, 00611240
50, 00000000
64, 00610F1C
51, 00000000
2, 00000000
64, 0060EF9C
62, 00000000
36, 00000000
65, 00000000
51, 00000000
14, 00000000
64, 0060FC34
43, 00000000
28, 00000000
28, 00000000
64, 0060F370
51, 00000000
64, 0060E200
62, 00000000
64, 0060FC34
51, 00000000
64, 00611240
62, 00000000
65, 00000000
33, 00000000
64, 0060E200
44, 00000000
28, 00000000
6, 00000000
2, 00000000
64, 00611240
62, 00000000
64, 0060E200
51, 00000000
14, 00000000
64, 00610BA8
60, 00000000
64, 0060E200
61, 00000000
56, 00000000
64, 0060E508
47, 00000000
64, 0060E508
28, 00000000
2, 00000000
64, 0060EF9C
62, 00000000
64, 0060E200
51, 00000000
64, 0060E200
62, 00000000
64, 00610BA8
60, 00000000
64, 0060E200
61, 00000000
56, 00000000
64, 0060EE48
51, 00000000
9, 00000000
8, 00000000
64, 0060E200
62, 00000000
64, 00610BA8
60, 00000000
64, 0060E200
61, 00000000
56, 00000000
64, 00612030
51, 00000000
9, 00000000
51, 00000000
64, 00611FA4
58, 00000000
64, 00611240
59, 00000000
51, 00000000
9, 00000000
51, 00000000
12, 00000000
64, 006102F4
56, 00000000
64, 0060E98C
58, 00000000
64, 00610418
50, 00000000
64, 00610F1C
59, 00000000
50, 00000000
64, 00610F1C
51, 00000000
32, 00000000
64, 0060E200
50, 00000000
64, 00610F1C
51, 00000000
2, 00000000
64, 0060E98C
62, 00000000
36, 00000000
65, 00000000
51, 00000000
14, 00000000
64, 00610418
45, 00000000
64, 00610BA8
60, 00000000
64, 0060FC34
61, 00000000
56, 00000000
64, 00610418
28, 00000000
64, 0060F370
51, 00000000
64, 00610418
62, 00000000
64, 00610BA8
60, 00000000
64, 0060FC34
61, 00000000
56, 00000000
64, 00610418
36, 00000000
64, 00610418
35, 00000000
65, 00000000
51, 00000000
64, 0060E200
62, 00000000
64, 0060FC34
51, 00000000
33, 00000000
64, 00611E40
6, 00000000
14, 00000000
64, 00610418
48, 00000000
64, 00610BA8
60, 00000000
64, 00610BA8
60, 00000000
64, 0060E200
61, 00000000
56, 00000000
64, 00612030
61, 00000000
56, 00000000
64, 00610418
28, 00000000
64, 0060E200
62, 00000000
64, 00610BA8
60, 00000000
64, 0060E200
61, 00000000
56, 00000000
64, 00612030
8, 00000000
14, 00000000
64, 00610418
43, 00000000
64, 00610BA8
60, 00000000
64, 00610BA8
60, 00000000
64, 0060E200
61, 00000000
56, 00000000
64, 00612030
61, 00000000
56, 00000000
64, 00610418
35, 00000000
65, 00000000
28, 00000000
2, 00000000
64, 00611FA4
58, 00000000
64, 0060E200
59, 00000000
51, 00000000
64, 0060E98C
62, 00000000
64, 0060E200
51, 00000000
64, 0060F370
51, 00000000
9, 00000000
8, 00000000
2, 00000000
64, 0060EFF0
58, 00000000
64, 00610418
49, 00000000
64, 00610BA8
60, 00000000
64, 00610BA8
60, 00000000
64, 0060E200
61, 00000000
56, 00000000
64, 00612030
61, 00000000
56, 00000000
64, 00610418
35, 00000000
65, 00000000
59, 00000000
51, 00000000
64, 0060E200
62, 00000000
64, 00610BA8
60, 00000000
64, 0060E200
61, 00000000
56, 00000000
64, 0060EE48
51, 00000000
9, 00000000
51, 00000000
9, 00000000
51, 00000000
64, 0060F5B8
64, 006102F4
56, 00000000
64, 00611C20
51, 00000000
2, 00000000
14, 00000000
64, 0060FC34
43, 00000000
28, 00000000
28, 00000000
64, 0060F370
51, 00000000
14, 00000000
64, 00610BA8
60, 00000000
64, 0060FC34
61, 00000000
56, 00000000
64, 00610D9C
43, 00000000
28, 00000000
28, 00000000
2, 00000000
64, 0060FC34
62, 00000000
28, 00000000
51, 00000000
64, 0060F370
51, 00000000
9, 00000000
51, 00000000
64, 0060FC34
62, 00000000
64, 00610BA8
60, 00000000
64, 0060FC34
61, 00000000
56, 00000000
64, 00610D9C
51, 00000000
64, 00610BA8
60, 00000000
64, 0060FC34
61, 00000000
56, 00000000
64, 00611620
62, 00000000
28, 00000000
51, 00000000
9, 00000000
51, 00000000
64, 0060F5B8
64, 00610CAC
51, 00000000
32, 00000000
64, 0060E1E4
49, 00000000
64, 0060E16C
49, 00000000
64, 0060E200
50, 00000000
64, 00610F1C
51, 00000000
64, 0060EB08
50, 00000000
64, 0060E504
51, 00000000
2, 00000000
64, 00611014
58, 00000000
64, 00610618
49, 00000000
64, 00610788
59, 00000000
51, 00000000
64, 0061166C
58, 00000000
64, 00610618
59, 00000000
51, 00000000
64, 00611014
58, 00000000
64, 00610754
49, 00000000
64, 0060F8DC
59, 00000000
51, 00000000
64, 0060ED88
58, 00000000
64, 00610754
59, 00000000
51, 00000000
64, 0060FE10
58, 00000000
64, 0060E178
49, 00000000
64, 00611788
59, 00000000
51, 00000000
24, 00000000
62, 00000000
64, 00611788
51, 00000000
64, 00610DE4
56, 00000000
15, 00000000
51, 00000000
64, 0060E4AC
62, 00000000
65, 00000000
11, 00000000
64, 0060E1E4
62, 00000000
65, 00000000
29, 00000000
64, 0060E178
6, 00000000
2, 00000000
64, 0060FE10
58, 00000000
64, 0060EB08
49, 00000000
64, 0060E16C
59, 00000000
